mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.084797191619873,0.08805184200129051,0.065411376953125,0.011737668318934712,balanced_subsample,,1,400,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",0.967056918669822,0.9698748287457964,0.9591714410262797,0.9557711021125657,0.9357178511262245,0.9575184283361378,0.012039220867650389,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.753128957748413,0.09468959818174288,0.08533763885498047,0.004773757539251163,,,1,400,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",0.9667922530825758,0.9685904222194546,0.9630090920413501,0.9565166211507674,0.9303831035128222,0.957058298401394,0.013964319783096188,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5934397220611572,0.06231339538251015,0.052827978134155275,0.014411025123886699,balanced_subsample,,1,200,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.9642390085938474,0.9694077718271267,0.9587199526715655,0.9552688577078822,0.9340955886940788,0.9563462358989001,0.012122591783403363,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4979382514953613,0.04758307321246839,0.0511683464050293,0.01338914575317089,,,1,200,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.9639042844688006,0.9673060156931125,0.961958213974343,0.956846219041341,0.9272945654208524,0.95546185971969,0.014484986046371414,4,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,7.021666937153402e-17
0.8811753273010254,0.039606664742526616,0.07261476516723633,0.004725965412299839,,14,1,400,"{'model__class_weight': None, 'model__max_depth': 14, 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",0.9645970855648275,0.964254577157803,0.9590235396687009,0.9504661455880968,0.93237973419854,0.9541442164355937,0.012020903080762717,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5680059909820556,0.08066006945654132,0.03421597480773926,0.002778053698652651,balanced_subsample,14,1,200,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 14, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.9621216838958774,0.9666988416988417,0.9555206127786772,0.955614150736102,0.928916827852998,0.9537744233924993,0.013122889746890416,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.1256247520446778,0.08070481360616041,0.05790567398071289,0.010256887200894484,balanced_subsample,14,1,400,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 14, 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",0.9643479885415369,0.967928758251339,0.9531853281853282,0.9535737828420756,0.9292288013976415,0.9536529318435842,0.013527353940685143,7,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,4.965068306494546e-17
0.3989865303039551,0.07198993337930572,0.0414060115814209,0.0083527453402818,,14,1,200,"{'model__class_weight': None, 'model__max_depth': 14, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.9626276622244365,0.9646749283846058,0.9558475526217463,0.945380920990677,0.9257190990204032,0.9508500326483738,0.014256861602545693,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0033459186553955,0.048040390629555764,0.08302364349365235,0.04269319714787897,balanced_subsample,,3,400,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 400}",0.9424741561838337,0.9460704944575912,0.93272823514759,0.9235960699375334,0.9063767392525114,0.9302491389958119,0.014283326286431452,9,0.9979915036409484,0.9978285998566057,0.9975954621053608,0.9975925219233345,0.9978462228462228,0.9977708620744945,0.00015509091329520843
0.7986225605010986,0.07187947697762313,0.046065235137939455,0.00521643139407603,balanced_subsample,14,3,400,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 14, 'model__min_samples_leaf': 3, 'model__n_estimators': 400}",0.9403412629219081,0.9442178353468677,0.9340048573919542,0.9239413629657531,0.9050352530105449,0.9295081143274055,0.01402756829166266,10,0.9978217715542679,0.9977095923015769,0.9972823356695882,0.9974912773944331,0.9974688974688974,0.9975547748777526,0.0001902028611112841
0.599387264251709,0.07177258273233142,0.04314408302307129,0.01266245804405964,balanced_subsample,,3,200,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",0.9397807946195043,0.9474716652136006,0.9351102254328061,0.9229682644316791,0.9012447744431271,0.9293151448281435,0.01613071977065186,11,0.9976774017334133,0.9977739734379039,0.9976354564476244,0.9973014439027429,0.9976209976209977,0.9976018546285363,0.00015942044421688172
0.8353899955749512,0.06350146864322642,0.06379590034484864,0.0161476629674593,,14,3,400,"{'model__class_weight': None, 'model__max_depth': 14, 'model__min_samples_leaf': 3, 'model__n_estimators': 400}",0.9400610287707062,0.9406526342010214,0.936355710549259,0.923187996358728,0.9043801085667934,0.9289274956893016,0.013799484592602539,12,0.9968092318647607,0.9968492262070244,0.9962376054119173,0.9966774271428793,0.9966060216060216,0.9966359024465208,0.00021762711542145882
0.5459722518920899,0.04488242457312321,0.042753171920776364,0.006404132295301212,balanced_subsample,14,3,200,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 14, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",0.9383951924274505,0.9439531697596213,0.9352659110723627,0.9230310449822645,0.902867036875273,0.9287024710233943,0.014623584624832056,13,0.9975798545571601,0.9978325017436558,0.9971369903769711,0.9971904643229856,0.9973265473265472,0.997413271665464,0.0002596148267956372
0.4079230308532715,0.08713479144960705,0.0682835578918457,0.022472857403526,,,3,200,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",0.9412442396313363,0.9420538049570307,0.9318408270021173,0.9223247637881784,0.9055656080364385,0.9286058486830202,0.01357458106126161,14,0.9970374922571928,0.9973018451048389,0.9965439035453522,0.9967572545598978,0.9966411216411216,0.9968563234216807,0.0002775047177908213
0.6981662750244141,0.07519649503914327,0.06303272247314454,0.004684260820175367,,,3,400,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 400}",0.9417735708058289,0.9415711794744053,0.9337090546767967,0.9219009950717267,0.9040213389904537,0.9285952278038423,0.014261024048825245,15,0.997214052646211,0.9972735564237255,0.9967770412965972,0.996973372688899,0.9969219219219219,0.9970319889954709,0.00018549984180648267
